feature,importance
activity_days,0.1419434697797114
activity_x_guild,0.1051840506489102
unique_sessions,0.10489415351819549
level_per_day,0.07016882250876715
obs_x_level,0.06048396325593918
observations,0.059625301383459346
zone_per_day,0.059615034167983055
zones_per_obs,0.056692976971284975
unique_zones,0.05368307831135698
obs_per_session,0.050388538460717204
days_since_start,0.04802898108024736
max_level,0.030152607072530903
class_encoded,0.02601179900919935
min_level,0.02281246572660832
progression_ratio,0.017977746899238006
race_encoded,0.017307809682715364
level_gain,0.014428627984197027
is_max_level,0.011585320173667812
guild_count,0.009413214792687242
is_explorer,0.006184473445031247
stalled_leveller,0.0055098619803762095
has_guild,0.005379781172215898
is_late_joiner,0.005237775350298018
is_light_player,0.0034712468764541513
guild_hopper,0.002991010676601412
no_guild,0.0028846777752783116
is_low_level,0.002857931571883144
is_heavy_player,0.002783808815054652
is_static,0.002301470909390651
