feature,mean_abs_shap
observations,1.3747248660072346
obs_x_level,1.2104220246579378
activity_days,1.0232678431859412
unique_zones,0.6586935795577871
obs_per_session,0.35769482636657834
progression_ratio,0.32760938464090184
days_since_start,0.2719966335163146
is_static,0.21748800756260617
zones_per_obs,0.21484831469561602
unique_sessions,0.15288659378901703
is_explorer,0.1526179821662193
activity_x_guild,0.14637107994529852
stalled_leveller,0.13831324808906362
is_heavy_player,0.13029668954487791
level_gain,0.12479457533198428
no_guild,0.10853495391839339
has_guild,0.10853495391839103
is_max_level,0.09629916429134254
zone_per_day,0.08159396334921847
is_late_joiner,0.08077741602676422
guild_count,0.07351524035147441
class_encoded,0.06276808511240024
is_light_player,0.060490547283571575
min_level,0.050480710532252455
race_encoded,0.03645152693878464
max_level,0.03083301491811624
guild_hopper,0.027921914966254326
is_low_level,0.017629519426440247
level_per_day,0.00357227772702466
